,name,album,artists,year,release_date
,Sick And Tired Of Being Sick And Tired,El Rauncho Grundge,Too Slim and the Taildraggers,1992,1992
,El Rauncho Grundge,El Rauncho Grundge,Too Slim and the Taildraggers,1992,1992
,If You Aint Rockin You Aint Livin,El Rauncho Grundge,Too Slim and the Taildraggers,1992,1992
,Lowdown Hoedown,El Rauncho Grundge,Too Slim and the Taildraggers,1992,1992
,Good Love Charm,El Rauncho Grundge,Too Slim and the Taildraggers,1992,1992
,These Boots Are Made For Walking,El Rauncho Grundge,Too Slim and the Taildraggers,1992,1992
,Sonic Boom,El Rauncho Grundge,Too Slim and the Taildraggers,1992,1992
,Sheriff Fatman,Sessions,Carter The Unstoppable Sex Machine,1998,1998-01-01
,Prince in a Paupers Grave,Sessions,Carter The Unstoppable Sex Machine,1998,1998-01-01
,Sealed with a Glasgow Kiss,Sessions,Carter The Unstoppable Sex Machine,1998,1998-01-01
